"Latest: Time (min)","Latest: Potential (mV)"
0,3.29997619629
0.00833333333333,3.29845733643
0.0166666666667,3.29845733643
0.025,3.29845733643
0.0333333333333,3.29896362305
0.0416666666667,3.30098876953
0.05,3.29744476318
0.0583333333333,3.29744476318
0.0666666666667,3.29643218994
0.075,3.29744476318
0.0833333333333,3.29896362305
0.0916666666667,3.29896362305
0.1,3.30098876953
0.108333333333,3.30098876953
0.116666666667,3.30301391602
0.125,3.29997619629
0.133333333333,3.29643218994
0.141666666667,3.29896362305
0.15,3.29896362305
0.158333333333,3.29744476318
0.166666666667,3.30200134277
0.175,3.30301391602
0.183333333333,3.30200134277
0.191666666667,3.30200134277
0.2,3.30402648926
0.208333333333,3.30098876953
0.216666666667,3.30200134277
0.225,3.30402648926
0.233333333333,3.30301391602
0.241666666667,3.30301391602
0.25,3.30098876953
0.258333333333,3.30200134277
0.266666666667,3.29744476318
0.275,3.29997619629
0.283333333333,3.29997619629
0.291666666667,3.30402648926
0.3,3.29997619629
0.308333333333,3.30098876953
0.316666666667,3.29997619629
0.325,3.29896362305
0.333333333333,3.30098876953
0.341666666667,3.29997619629
0.35,3.29845733643
0.358333333333,3.30098876953
0.366666666667,3.30200134277
0.375,3.29946990967
0.383333333333,3.29946990967
0.391666666667,3.29997619629
0.4,3.30200134277
0.408333333333,3.30301391602
0.416666666667,3.30402648926
0.425,3.30402648926
0.433333333333,3.30402648926
0.441666666667,3.30098876953
0.45,3.30200134277
0.458333333333,3.30200134277
0.466666666667,3.30402648926
0.475,3.30301391602
0.483333333333,3.30200134277
0.491666666667,3.29997619629
0.5,3.29744476318
0.508333333333,3.29997619629
0.516666666667,3.29643218994
0.525,3.29643218994
0.533333333333,3.30098876953
0.541666666667,3.30098876953
0.55,3.29997619629
0.558333333333,3.29997619629
0.566666666667,3.29643218994
0.575,3.29845733643
0.583333333333,3.30554534912
0.591666666667,3.32275909424
0.6,3.37288146973
0.608333333333,3.43009185791
0.616666666667,3.44983703613
0.625,3.4346484375
0.633333333333,3.40123352051
0.641666666667,3.36579345703
0.65,3.34047912598
0.658333333333,3.32326538086
0.666666666667,3.31516479492
0.675,3.3050390625
0.683333333333,3.30301391602
0.691666666667,3.30301391602
0.7,3.30098876953
0.708333333333,3.29997619629
0.716666666667,3.30098876953
0.725,3.30098876953
0.733333333333,3.30098876953
0.741666666667,3.30098876953
0.75,3.30200134277
0.758333333333,3.30301391602
0.766666666667,3.29896362305
0.775,3.29997619629
0.783333333333,3.29744476318
0.791666666667,3.29643218994
0.8,3.29744476318
0.808333333333,3.29643218994
0.816666666667,3.2979510498
0.825,3.30098876953
0.833333333333,3.29997619629
0.841666666667,3.29744476318
0.85,3.30200134277
0.858333333333,3.30098876953
0.866666666667,3.29946990967
0.875,3.29845733643
0.883333333333,3.29896362305
0.891666666667,3.30098876953
0.9,3.29896362305
0.908333333333,3.29845733643
0.916666666667,3.30098876953
0.925,3.30098876953
0.933333333333,3.30098876953
0.941666666667,3.30098876953
0.95,3.30098876953
0.958333333333,3.29997619629
0.966666666667,3.29946990967
0.975,3.29997619629
0.983333333333,3.30200134277
0.991666666667,3.30301391602
1,3.30402648926
1.00833333333,3.30200134277
1.01666666667,3.30402648926
1.025,3.30200134277
1.03333333333,3.30402648926
1.04166666667,3.31060821533
1.05,3.31516479492
1.05833333333,3.33845397949
1.06666666667,5.04109588623
1.075,11.0112277222
1.08333333333,16.6072137451
1.09166666667,19.8555487061
1.1,20.8929299927
1.10833333333,20.8347070313
1.11666666667,20.2139996338
1.125,19.3431866455
1.13333333333,18.2885916138
1.14166666667,17.3129772949
1.15,16.2847091675
1.15833333333,15.2625164795
1.16666666667,14.2474118042
1.175,13.2449642944
1.18333333333,12.2713751221
1.19166666667,11.3276568604
1.2,10.4148220825
1.20833333333,9.55008453369
1.21666666667,8.72787506104
1.225,7.95933197021
1.23333333333,7.24951812744
1.24166666667,6.60450897217
1.25,6.02987365723
1.25833333333,5.50738586426
1.26666666667,5.08058624268
1.275,4.7378302002
1.28333333333,4.44570281982
1.29166666667,4.21281097412
1.3,4.03510437012
1.30833333333,3.89739440918
1.31666666667,3.78398620605
1.325,3.70247406006
1.33333333333,3.63918823242
1.34166666667,3.58957214355
1.35,3.55210693359
1.35833333333,3.51717315674
1.36666666667,3.49742797852
1.375,3.47616394043
1.38333333333,3.45743133545
1.39166666667,3.44325531006
1.4,3.42907928467
1.40833333333,3.42351013184
1.41666666667,3.40882781982
1.425,3.40224609375
1.43333333333,3.39667694092
1.44166666667,3.39009521484
1.45,3.38351348877
1.45833333333,3.38148834229
1.46666666667,3.37591918945
1.475,3.37136260986
1.48333333333,3.36781860352
1.49166666667,3.36478088379
1.5,3.36376831055
1.50833333333,3.36174316406
1.51666666667,3.35617401123
1.525,3.35516143799
1.53333333333,3.34857971191
1.54166666667,3.34604827881
1.55,3.34402313232
1.55833333333,3.34301055908
1.56666666667,3.34047912598
1.575,3.34301055908
1.58333333333,3.34301055908
1.59166666667,3.33744140625
1.6,3.33744140625
1.60833333333,3.33541625977
1.61666666667,3.33288482666
1.625,3.3338973999
1.63333333333,3.3338973999
1.64166666667,3.33187225342
1.65,3.32934082031
1.65833333333,3.33085968018
1.66666666667,3.32832824707
1.675,3.33085968018
1.68333333333,3.32883453369
1.69166666667,3.32731567383
1.7,3.32529052734
1.70833333333,3.32630310059
1.71666666667,3.321746521
1.725,3.32326538086
1.73333333333,3.31972137451
1.74166666667,3.31870880127
1.75,3.31668365479
1.75833333333,3.31972137451
1.76666666667,3.32073394775
1.775,3.31972137451
1.78333333333,3.32073394775
1.79166666667,3.32073394775
1.8,3.31972137451
1.80833333333,3.31972137451
1.81666666667,3.31415222168
1.825,3.3121270752
1.83333333333,3.3121270752
1.84166666667,3.31668365479
1.85,3.31313964844
1.85833333333,3.3121270752
1.86666666667,3.31313964844
1.875,3.31870880127
1.88333333333,3.31617736816
1.89166666667,3.31769622803
1.9,3.32326538086
1.90833333333,3.32529052734
1.91666666667,3.34047912598
1.925,3.36629974365
1.93333333333,3.40933410645
1.94166666667,3.49287139893
1.95,3.62096191406
1.95833333333,3.84575317383
1.96666666667,4.22293670654
1.975,4.81782348633
1.98333333333,5.64914611816
1.99166666667,6.67943939209
2,7.98008972168
2.00833333333,9.21391021729
2.01666666667,10.3753317261
2.025,11.2957608032
2.03333333333,11.9326693726
2.04166666667,12.283526001
2.05,12.4116165161
2.05833333333,12.346305542
2.06666666667,12.1361965942
2.075,11.8207800293
2.08333333333,11.4258764648
2.09166666667,10.979331665
2.1,10.4953216553
2.10833333333,9.9703024292
2.11666666667,9.45338378906
2.125,8.93849029541
2.13333333333,8.42764709473
2.14166666667,7.95021881104
2.15,7.44798248291
2.15833333333,6.98473022461
2.16666666667,6.56349975586
2.175,6.15087615967
2.18333333333,5.77065490723
2.19166666667,5.42334228516
2.2,5.11045715332
2.20833333333,4.80719146729
2.21666666667,4.56012359619
2.225,4.34950836182
2.23333333333,4.15965087891
2.24166666667,3.99915802002
2.25,3.86347320557
2.25833333333,3.75411529541
2.26666666667,3.66045227051
2.275,3.58653442383
2.28333333333,3.52476745605
2.29166666667,3.47970794678
2.3,3.44224273682
2.30833333333,3.41237182617
2.31666666667,3.39161407471
2.325,3.37136260986
2.33333333333,3.35921173096
2.34166666667,3.3506048584
2.35,3.34047912598
2.35833333333,3.33440368652
2.36666666667,3.32883453369
2.375,3.32326538086
2.38333333333,3.32275909424
2.39166666667,3.31617736816
2.4,3.31617736816
2.40833333333,3.31972137451
2.41666666667,3.31718994141
2.425,3.31313964844
2.43333333333,3.31567108154
2.44166666667,3.31313964844
2.45,3.30959564209
2.45833333333,3.30959564209
2.46666666667,3.31060821533
2.475,3.30757049561
2.48333333333,3.30757049561
2.49166666667,3.30959564209
2.5,3.31060821533
2.50833333333,3.30959564209
2.51666666667,3.30757049561
2.525,3.30453277588
2.53333333333,3.30959564209
2.54166666667,3.30757049561
2.55,3.30858306885
2.55833333333,3.31010192871
2.56666666667,3.30757049561
2.575,3.30757049561
2.58333333333,3.30453277588
2.59166666667,3.30858306885
2.6,3.30757049561
2.60833333333,3.30655792236
2.61666666667,3.30301391602
2.625,3.30554534912
2.63333333333,3.30453277588
2.64166666667,3.30453277588
2.65,3.30200134277
2.65833333333,3.30301391602
2.66666666667,3.30605163574
2.675,3.30655792236
2.68333333333,3.30402648926
2.69166666667,3.30402648926
2.7,3.30301391602
2.70833333333,3.3050390625
2.71666666667,3.29896362305
2.725,3.29997619629
2.73333333333,3.30200134277
2.74166666667,3.30200134277
2.75,3.30098876953
2.75833333333,3.30098876953
2.76666666667,3.30098876953
2.775,3.30301391602
